"unitid","institution name","year","S2017_IS.Instructional staff category","S2017_IS_RV.Grand total","S2017_IS_RV.Grand total men","S2017_IS_RV.Grand total women","S2017_IS_RV.American Indian or Alaska Native total","S2017_IS_RV.American Indian or Alaska Native men","S2017_IS_RV.American Indian or Alaska Native women","S2017_IS_RV.Asian total","S2017_IS_RV.Asian men","S2017_IS_RV.Asian women","S2017_IS_RV.Black or African American total","S2017_IS_RV.Black or African American men","S2017_IS_RV.Black or African American women","S2017_IS_RV.Hispanic or Latino total","S2017_IS_RV.Hispanic or Latino men","S2017_IS_RV.Hispanic or Latino women","S2017_IS_RV.Native Hawaiian or Other Pacific Islander total","S2017_IS_RV.Native Hawaiian or Other Pacific Islander men","S2017_IS_RV.Native Hawaiian or Other Pacific Islander women","S2017_IS_RV.White total","S2017_IS_RV.White men","S2017_IS_RV.White women","S2017_IS_RV.Two or more races total","S2017_IS_RV.Two or more races men","S2017_IS_RV.Two or more races women","S2017_IS_RV.Race/ethnicity unknown total","S2017_IS_RV.Race/ethnicity unknown men","S2017_IS_RV.Race/ethnicity unknown women","S2017_IS_RV.Nonresident alien total","S2017_IS_RV.Nonresident alien men","S2017_IS_RV.Nonresident alien women","IDX_HR"
"100654","Alabama A & M University","2017","Tenured total","85","66","19","0","0","0","11","9","2","66","53","13","0","0","0","0","0","0","4","1","3","1","0","1","0","0","0","3","3","0","-2"
"100654","Alabama A & M University","2017","Tenured, professors","42","33","9","0","0","0","7","7","0","32","25","7","0","0","0","0","0","0","2","1","1","1","0","1","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2017","Tenured, associate professors","31","26","5","0","0","0","4","2","2","23","21","2","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","3","3","0","-2"
"100654","Alabama A & M University","2017","Tenured, assistant professors","12","7","5","0","0","0","0","0","0","11","7","4","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2017","On-Tenure track total","75","34","41","0","0","0","11","4","7","40","14","26","0","0","0","0","0","0","12","8","4","0","0","0","0","0","0","12","8","4","-2"
"100654","Alabama A & M University","2017","On-tenure track, professors","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","1","0","-2"
"100654","Alabama A & M University","2017","On-tenure track, associate professors","17","7","10","0","0","0","6","2","4","6","2","4","0","0","0","0","0","0","3","2","1","0","0","0","0","0","0","2","1","1","-2"
"100654","Alabama A & M University","2017","On-tenure track, assistant professors","51","23","28","0","0","0","5","2","3","29","10","19","0","0","0","0","0","0","8","5","3","0","0","0","0","0","0","9","6","3","-2"
"100654","Alabama A & M University","2017","On-tenure track, instructors","3","1","2","0","0","0","0","0","0","3","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2017","On-tenure track, no academic rank","2","1","1","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2017","Not on tenure track/No tenure system system total","95","39","56","1","0","1","3","2","1","66","26","40","0","0","0","0","0","0","18","6","12","1","0","1","0","0","0","6","5","1","-2"
"100654","Alabama A & M University","2017","Not on tenure/no tenure system, professors","2","0","2","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2017","Not on tenure/no tenure system, associate professors","10","7","3","0","0","0","0","0","0","7","5","2","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","1","1","0","-2"
"100654","Alabama A & M University","2017","Not on tenure/no tenure system, assistant professors","37","19","18","0","0","0","1","1","0","23","11","12","0","0","0","0","0","0","9","5","4","1","0","1","0","0","0","3","2","1","-2"
"100654","Alabama A & M University","2017","Not on tenure/no tenure system, instructors","41","13","28","1","0","1","2","1","1","31","10","21","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0","2","2","0","-2"
"100654","Alabama A & M University","2017","Not on tenure/no tenure system, no academic rank","5","0","5","0","0","0","0","0","0","4","0","4","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2017","Tenured total","154","119","35","0","0","0","34","32","2","7","4","3","4","3","1","0","0","0","108","80","28","1","0","1","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2017","Tenured, professors","62","50","12","0","0","0","13","13","0","1","1","0","1","1","0","0","0","0","47","35","12","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2017","Tenured, associate professors","91","69","22","0","0","0","21","19","2","6","3","3","2","2","0","0","0","0","61","45","16","1","0","1","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2017","Tenured, assistant professors","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2017","On-Tenure track total","71","38","33","0","0","0","18","13","5","4","1","3","0","0","0","0","0","0","37","19","18","0","0","0","0","0","0","12","5","7","-2"
"100706","University of Alabama in Huntsville","2017","On-tenure track, associate professors","6","3","3","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","4","1","3","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2017","On-tenure track, assistant professors","65","35","30","0","0","0","16","11","5","4","1","3","0","0","0","0","0","0","33","18","15","0","0","0","0","0","0","12","5","7","-2"
"100706","University of Alabama in Huntsville","2017","Not on tenure track/No tenure system system total","121","34","87","0","0","0","6","1","5","5","1","4","4","1","3","1","1","0","104","30","74","0","0","0","0","0","0","1","0","1","-2"
"100706","University of Alabama in Huntsville","2017","Not on tenure/no tenure system, associate professors","8","0","8","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","7","0","7","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2017","Not on tenure/no tenure system, assistant professors","29","7","22","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","28","7","21","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2017","Not on tenure/no tenure system, instructors","13","1","12","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","11","1","10","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2017","Not on tenure/no tenure system, lecturers","71","26","45","0","0","0","6","1","5","2","1","1","3","1","2","1","1","0","58","22","36","0","0","0","0","0","0","1","0","1","-2"
"100751","The University of Alabama","2017","Tenured total","584","388","196","0","0","0","53","40","13","34","13","21","18","9","9","1","1","0","475","323","152","0","0","0","1","1","0","2","1","1","-2"
"100751","The University of Alabama","2017","Tenured, professors","285","214","71","0","0","0","27","23","4","14","8","6","6","4","2","1","1","0","237","178","59","0","0","0","0","0","0","0","0","0","-2"
"100751","The University of Alabama","2017","Tenured, associate professors","293","172","121","0","0","0","26","17","9","20","5","15","11","4","7","0","0","0","233","144","89","0","0","0","1","1","0","2","1","1","-2"
"100751","The University of Alabama","2017","Tenured, assistant professors","6","2","4","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","5","1","4","0","0","0","0","0","0","0","0","0","-2"
"100751","The University of Alabama","2017","On-Tenure track total","365","199","166","2","1","1","41","27","14","28","15","13","2","1","1","1","0","1","245","124","121","0","0","0","0","0","0","46","31","15","-2"
"100751","The University of Alabama","2017","On-tenure track, professors","13","6","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","6","7","0","0","0","0","0","0","0","0","0","-2"
"100751","The University of Alabama","2017","On-tenure track, associate professors","17","12","5","0","0","0","4","4","0","2","2","0","0","0","0","0","0","0","11","6","5","0","0","0","0","0","0","0","0","0","-2"
"100751","The University of Alabama","2017","On-tenure track, assistant professors","335","181","154","2","1","1","37","23","14","26","13","13","2","1","1","1","0","1","221","112","109","0","0","0","0","0","0","46","31","15","-2"
"100751","The University of Alabama","2017","Not on tenure track/No tenure system system total","486","201","285","2","1","1","13","4","9","31","7","24","14","7","7","0","0","0","411","176","235","2","0","2","0","0","0","13","6","7","-2"
"100751","The University of Alabama","2017","Not on tenure/no tenure system, professors","13","9","4","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","10","6","4","0","0","0","0","0","0","1","1","0","-2"
"100751","The University of Alabama","2017","Not on tenure/no tenure system, associate professors","27","9","18","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","26","9","17","0","0","0","0","0","0","0","0","0","-2"
"100751","The University of Alabama","2017","Not on tenure/no tenure system, assistant professors","120","43","77","0","0","0","5","2","3","12","4","8","0","0","0","0","0","0","99","36","63","1","0","1","0","0","0","3","1","2","-2"
"100751","The University of Alabama","2017","Not on tenure/no tenure system, instructors","308","127","181","1","1","0","7","1","6","18","3","15","13","6","7","0","0","0","260","113","147","1","0","1","0","0","0","8","3","5","-2"
"100751","The University of Alabama","2017","Not on tenure/no tenure system, lecturers","18","13","5","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","16","12","4","0","0","0","0","0","0","1","1","0","-2"
"101675","Miles College","2017","Tenured total","7","5","2","0","0","0","3","2","1","4","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"101675","Miles College","2017","Tenured, professors","7","5","2","0","0","0","3","2","1","4","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"101675","Miles College","2017","On-Tenure track total","85","27","58","0","0","0","3","0","3","66","20","46","1","0","1","0","0","0","14","6","8","0","0","0","1","1","0","0","0","0","-2"
"101675","Miles College","2017","On-tenure track, associate professors","9","6","3","0","0","0","0","0","0","6","3","3","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","-2"
"101675","Miles College","2017","On-tenure track, assistant professors","27","5","22","0","0","0","2","0","2","20","3","17","0","0","0","0","0","0","4","1","3","0","0","0","1","1","0","0","0","0","-2"
"101675","Miles College","2017","On-tenure track, instructors","49","16","33","0","0","0","1","0","1","40","14","26","1","0","1","0","0","0","7","2","5","0","0","0","0","0","0","0","0","0","-2"
"102094","University of South Alabama","2017","Tenured total","246","164","82","0","0","0","21","14","7","6","4","2","2","2","0","0","0","0","215","143","72","2","1","1","0","0","0","0","0","0","-2"
"102094","University of South Alabama","2017","Tenured, professors","136","105","31","0","0","0","9","8","1","3","3","0","0","0","0","0","0","0","124","94","30","0","0","0","0","0","0","0","0","0","-2"
"102094","University of South Alabama","2017","Tenured, associate professors","104","56","48","0","0","0","11","6","5","2","0","2","2","2","0","0","0","0","87","47","40","2","1","1","0","0","0","0","0","0","-2"
"102094","University of South Alabama","2017","Tenured, assistant professors","6","3","3","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","4","2","2","0","0","0","0","0","0","0","0","0","-2"
"102094","University of South Alabama","2017","On-Tenure track total","141","94","47","1","0","1","21","17","4","4","2","2","3","3","0","0","0","0","108","70","38","4","2","2","0","0","0","0","0","0","-2"
"102094","University of South Alabama","2017","On-tenure track, professors","4","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","2","0","0","0","0","0","0","0","0","0","-2"
"102094","University of South Alabama","2017","On-tenure track, associate professors","8","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","7","1","0","0","0","0","0","0","0","0","0","-2"
"102094","University of South Alabama","2017","On-tenure track, assistant professors","129","85","44","1","0","1","21","17","4","4","2","2","3","3","0","0","0","0","96","61","35","4","2","2","0","0","0","0","0","0","-2"
"102094","University of South Alabama","2017","Not on tenure track/No tenure system system total","395","162","233","0","0","0","27","17","10","28","3","25","4","3","1","0","0","0","329","136","193","4","2","2","3","1","2","0","0","0","-2"
"102094","University of South Alabama","2017","Not on tenure/no tenure system, professors","29","21","8","0","0","0","5","5","0","2","0","2","1","1","0","0","0","0","20","14","6","1","1","0","0","0","0","0","0","0","-2"
"102094","University of South Alabama","2017","Not on tenure/no tenure system, associate professors","52","27","25","0","0","0","2","2","0","0","0","0","3","2","1","0","0","0","45","23","22","1","0","1","1","0","1","0","0","0","-2"
"102094","University of South Alabama","2017","Not on tenure/no tenure system, assistant professors","178","72","106","0","0","0","16","10","6","20","3","17","0","0","0","0","0","0","140","58","82","1","0","1","1","1","0","0","0","0","-2"
"102094","University of South Alabama","2017","Not on tenure/no tenure system, instructors","135","42","93","0","0","0","4","0","4","6","0","6","0","0","0","0","0","0","123","41","82","1","1","0","1","0","1","0","0","0","-2"
"102094","University of South Alabama","2017","Not on tenure/no tenure system, lecturers","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","-2"
"102377","Tuskegee University","2017","Tenured total","86","47","39","0","0","0","13","10","3","51","32","19","1","0","1","0","0","0","6","2","4","0","0","0","15","3","12","0","0","0","-2"
"102377","Tuskegee University","2017","Tenured, professors","44","20","24","0","0","0","7","4","3","24","14","10","0","0","0","0","0","0","4","2","2","0","0","0","9","0","9","0","0","0","-2"
"102377","Tuskegee University","2017","Tenured, associate professors","35","22","13","0","0","0","4","4","0","23","16","7","1","0","1","0","0","0","2","0","2","0","0","0","5","2","3","0","0","0","-2"
"102377","Tuskegee University","2017","Tenured, assistant professors","7","5","2","0","0","0","2","2","0","4","2","2","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","-2"
"102377","Tuskegee University","2017","On-Tenure track total","61","40","21","0","0","0","9","7","2","43","28","15","1","0","1","0","0","0","1","0","1","0","0","0","7","5","2","0","0","0","-2"
"102377","Tuskegee University","2017","On-tenure track, professors","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"102377","Tuskegee University","2017","On-tenure track, associate professors","6","4","2","0","0","0","0","0","0","6","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"102377","Tuskegee University","2017","On-tenure track, assistant professors","49","32","17","0","0","0","8","6","2","32","21","11","1","0","1","0","0","0","1","0","1","0","0","0","7","5","2","0","0","0","-2"
"102377","Tuskegee University","2017","On-tenure track, instructors","4","3","1","0","0","0","0","0","0","4","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"102377","Tuskegee University","2017","On-tenure track, no academic rank","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"102377","Tuskegee University","2017","Not on tenure track/No tenure system system total","108","68","40","0","0","0","11","7","4","77","46","31","0","0","0","0","0","0","3","3","0","0","0","0","17","12","5","0","0","0","-2"
"102377","Tuskegee University","2017","Not on tenure/no tenure system, professors","4","4","0","0","0","0","1","1","0","2","2","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","-2"
"102377","Tuskegee University","2017","Not on tenure/no tenure system, associate professors","13","8","5","0","0","0","7","5","2","5","3","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","-2"
"102377","Tuskegee University","2017","Not on tenure/no tenure system, assistant professors","40","27","13","0","0","0","1","1","0","31","18","13","0","0","0","0","0","0","0","0","0","0","0","0","8","8","0","0","0","0","-2"
"102377","Tuskegee University","2017","Not on tenure/no tenure system, instructors","2","2","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"102377","Tuskegee University","2017","Not on tenure/no tenure system, lecturers","11","4","7","0","0","0","0","0","0","11","4","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"102377","Tuskegee University","2017","Not on tenure/no tenure system, no academic rank","38","23","15","0","0","0","2","0","2","26","17","9","0","0","0","0","0","0","2","2","0","0","0","0","8","4","4","0","0","0","-2"
"102614","University of Alaska Fairbanks","2017","Tenured total","180","114","66","2","1","1","19","16","3","1","0","1","4","2","2","0","0","0","147","91","56","2","1","1","5","3","2","0","0","0","-2"
"102614","University of Alaska Fairbanks","2017","Tenured, professors","88","63","25","0","0","0","10","10","0","1","0","1","1","1","0","0","0","0","69","48","21","2","1","1","5","3","2","0","0","0","-2"
"102614","University of Alaska Fairbanks","2017","Tenured, associate professors","91","51","40","2","1","1","9","6","3","0","0","0","3","1","2","0","0","0","77","43","34","0","0","0","0","0","0","0","0","0","-2"
"102614","University of Alaska Fairbanks","2017","Tenured, assistant professors","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","-2"
