"unitid","institution name","year","S2012_IS.Instructional staff category","S2012_IS_RV.Grand total","S2012_IS_RV.Grand total men","S2012_IS_RV.Grand total women","S2012_IS_RV.American Indian or Alaska Native total","S2012_IS_RV.American Indian or Alaska Native men","S2012_IS_RV.American Indian or Alaska Native women","S2012_IS_RV.Asian total","S2012_IS_RV.Asian men","S2012_IS_RV.Asian women","S2012_IS_RV.Black or African American total","S2012_IS_RV.Black or African American men","S2012_IS_RV.Black or African American women","S2012_IS_RV.Hispanic or Latino total","S2012_IS_RV.Hispanic or Latino men","S2012_IS_RV.Hispanic or Latino women","S2012_IS_RV.Native Hawaiian or Other Pacific Islander total","S2012_IS_RV.Native Hawaiian or Other Pacific Islander men","S2012_IS_RV.Native Hawaiian or Other Pacific Islander women","S2012_IS_RV.White total","S2012_IS_RV.White men","S2012_IS_RV.White women","S2012_IS_RV.Two or more races total","S2012_IS_RV.Two or more races men","S2012_IS_RV.Two or more races women","S2012_IS_RV.Race/ethnicity unknown total","S2012_IS_RV.Race/ethnicity unknown men","S2012_IS_RV.Race/ethnicity unknown women","S2012_IS_RV.Nonresident alien total","S2012_IS_RV.Nonresident alien men","S2012_IS_RV.Nonresident alien women","IDX_HR"
"100706","University of Alabama in Huntsville","2012","Tenured total","156","121","35","0","0","0","32","31","1","6","4","2","4","3","1","0","0","0","114","83","31","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2012","Tenured, professors","77","65","12","0","0","0","13","13","0","1","1","0","2","2","0","0","0","0","61","49","12","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2012","Tenured, associate professors","78","56","22","0","0","0","19","18","1","5","3","2","1","1","0","0","0","0","53","34","19","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2012","Tenured, assistant professors","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2012","On-Tenure track total","67","52","15","0","0","0","10","9","1","4","1","3","2","2","0","0","0","0","47","36","11","0","0","0","0","0","0","4","4","0","-2"
"100706","University of Alabama in Huntsville","2012","On-tenure track, professors","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2012","On-tenure track, associate professors","8","5","3","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","7","5","2","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2012","On-tenure track, assistant professors","58","46","12","0","0","0","10","9","1","3","1","2","2","2","0","0","0","0","39","30","9","0","0","0","0","0","0","4","4","0","-2"
"100706","University of Alabama in Huntsville","2012","Not on tenure track/No tenure system system total","91","19","72","0","0","0","3","1","2","5","1","4","2","0","2","0","0","0","80","17","63","0","0","0","0","0","0","1","0","1","-2"
"100706","University of Alabama in Huntsville","2012","Not on tenure/no tenure system, professors","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2012","Not on tenure/no tenure system, associate professors","9","3","6","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","8","3","5","0","0","0","0","0","0","0","0","0","-2"
