"unitid","institution name","year","S2015_IS.Instructional staff category","S2015_IS_RV.Grand total","S2015_IS_RV.Grand total men","S2015_IS_RV.Grand total women","S2015_IS_RV.American Indian or Alaska Native total","S2015_IS_RV.American Indian or Alaska Native men","S2015_IS_RV.American Indian or Alaska Native women","S2015_IS_RV.Asian total","S2015_IS_RV.Asian men","S2015_IS_RV.Asian women","S2015_IS_RV.Black or African American total","S2015_IS_RV.Black or African American men","S2015_IS_RV.Black or African American women","S2015_IS_RV.Hispanic or Latino total","S2015_IS_RV.Hispanic or Latino men","S2015_IS_RV.Hispanic or Latino women","S2015_IS_RV.Native Hawaiian or Other Pacific Islander total","S2015_IS_RV.Native Hawaiian or Other Pacific Islander men","S2015_IS_RV.Native Hawaiian or Other Pacific Islander women","S2015_IS_RV.White total","S2015_IS_RV.White men","S2015_IS_RV.White women","S2015_IS_RV.Two or more races total","S2015_IS_RV.Two or more races men","S2015_IS_RV.Two or more races women","S2015_IS_RV.Race/ethnicity unknown total","S2015_IS_RV.Race/ethnicity unknown men","S2015_IS_RV.Race/ethnicity unknown women","S2015_IS_RV.Nonresident alien total","S2015_IS_RV.Nonresident alien men","S2015_IS_RV.Nonresident alien women","IDX_HR"
"100654","Alabama A & M University","2015","Tenured total","91","67","24","0","0","0","10","9","1","75","56","19","0","0","0","0","0","0","3","0","3","0","0","0","1","0","1","2","2","0","-2"
"100654","Alabama A & M University","2015","Tenured, professors","45","34","11","0","0","0","6","6","0","35","27","8","0","0","0","0","0","0","2","0","2","0","0","0","1","0","1","1","1","0","-2"
"100654","Alabama A & M University","2015","Tenured, associate professors","34","27","7","0","0","0","4","3","1","29","23","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","-2"
"100654","Alabama A & M University","2015","Tenured, assistant professors","12","6","6","0","0","0","0","0","0","11","6","5","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2015","On-Tenure track total","49","25","24","0","0","0","3","1","2","27","9","18","0","0","0","0","0","0","7","6","1","0","0","0","0","0","0","12","9","3","-2"
"100654","Alabama A & M University","2015","On-tenure track, professors","4","4","0","0","0","0","1","1","0","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","1","0","-2"
"100654","Alabama A & M University","2015","On-tenure track, associate professors","14","4","10","0","0","0","1","0","1","7","1","6","0","0","0","0","0","0","3","2","1","0","0","0","0","0","0","3","1","2","-2"
"100654","Alabama A & M University","2015","On-tenure track, assistant professors","30","17","13","0","0","0","1","0","1","18","7","11","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","8","7","1","-2"
"100654","Alabama A & M University","2015","On-tenure track, instructors","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2015","Not on tenure track/No tenure system system total","104","47","57","0","0","0","1","1","0","71","32","39","0","0","0","0","0","0","20","8","12","0","0","0","1","0","1","11","6","5","-2"
"100654","Alabama A & M University","2015","Not on tenure/no tenure system, professors","2","1","1","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2015","Not on tenure/no tenure system, associate professors","13","10","3","0","0","0","0","0","0","8","6","2","0","0","0","0","0","0","4","3","1","0","0","0","0","0","0","1","1","0","-2"
"100654","Alabama A & M University","2015","Not on tenure/no tenure system, assistant professors","49","25","24","0","0","0","0","0","0","31","17","14","0","0","0","0","0","0","10","5","5","0","0","0","0","0","0","8","3","5","-2"
"100654","Alabama A & M University","2015","Not on tenure/no tenure system, instructors","37","11","26","0","0","0","1","1","0","28","8","20","0","0","0","0","0","0","6","0","6","0","0","0","0","0","0","2","2","0","-2"
"100654","Alabama A & M University","2015","Not on tenure/no tenure system, no academic rank","3","0","3","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","-2"
"100706","University of Alabama in Huntsville","2015","Tenured total","155","117","38","0","0","0","34","31","3","6","3","3","5","4","1","0","0","0","109","79","30","1","0","1","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2015","Tenured, professors","69","57","12","0","0","0","13","13","0","1","1","0","2","2","0","0","0","0","53","41","12","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2015","Tenured, associate professors","85","60","25","0","0","0","21","18","3","5","2","3","2","2","0","0","0","0","56","38","18","1","0","1","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2015","Tenured, assistant professors","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2015","On-Tenure track total","74","47","27","0","0","0","13","10","3","1","0","1","0","0","0","0","0","0","45","28","17","0","0","0","0","0","0","15","9","6","-2"
"100706","University of Alabama in Huntsville","2015","On-tenure track, associate professors","8","4","4","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","6","2","4","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2015","On-tenure track, assistant professors","66","43","23","0","0","0","11","8","3","1","0","1","0","0","0","0","0","0","39","26","13","0","0","0","0","0","0","15","9","6","-2"
"100706","University of Alabama in Huntsville","2015","Not on tenure track/No tenure system system total","92","23","69","0","0","0","3","1","2","6","1","5","3","0","3","1","0","1","78","20","58","0","0","0","0","0","0","1","1","0","-2"
"100706","University of Alabama in Huntsville","2015","Not on tenure/no tenure system, associate professors","7","2","5","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","6","2","4","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2015","Not on tenure/no tenure system, assistant professors","24","3","21","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","22","3","19","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2015","Not on tenure/no tenure system, instructors","11","0","11","0","0","0","0","0","0","1","0","1","0","0","0","1","0","1","9","0","9","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2015","Not on tenure/no tenure system, lecturers","50","18","32","0","0","0","3","1","2","3","1","2","2","0","2","0","0","0","41","15","26","0","0","0","0","0","0","1","1","0","-2"
"100751","The University of Alabama","2015","Tenured total","588","389","199","0","0","0","54","42","12","31","12","19","17","10","7","0","0","0","481","324","157","1","0","1","0","0","0","4","1","3","-2"
"100751","The University of Alabama","2015","Tenured, professors","290","220","70","0","0","0","28","25","3","11","6","5","6","5","1","0","0","0","243","183","60","1","0","1","0","0","0","1","1","0","-2"
"100751","The University of Alabama","2015","Tenured, associate professors","291","167","124","0","0","0","26","17","9","19","6","13","10","4","6","0","0","0","233","140","93","0","0","0","0","0","0","3","0","3","-2"
"100751","The University of Alabama","2015","Tenured, assistant professors","7","2","5","0","0","0","0","0","0","1","0","1","1","1","0","0","0","0","5","1","4","0","0","0","0","0","0","0","0","0","-2"
"100751","The University of Alabama","2015","On-Tenure track total","307","172","135","0","0","0","28","16","12","21","9","12","3","0","3","0","0","0","202","115","87","1","0","1","16","8","8","36","24","12","-2"
"100751","The University of Alabama","2015","On-tenure track, professors","4","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","1","0","0","0","0","0","0","0","0","0","-2"
"100751","The University of Alabama","2015","On-tenure track, associate professors","18","12","6","0","0","0","3","3","0","1","0","1","0","0","0","0","0","0","12","7","5","0","0","0","2","2","0","0","0","0","-2"
"100751","The University of Alabama","2015","On-tenure track, assistant professors","285","157","128","0","0","0","25","13","12","20","9","11","3","0","3","0","0","0","186","105","81","1","0","1","14","6","8","36","24","12","-2"
