"unitid","institution name","year","S2009_f.Tenure status and academic rank of full-time instruction/research/public service staff","S2009_f_RV.Grand total","S2009_f_RV.Grand total men","S2009_f_RV.Grand total women","S2009_f_RV.American Indian or Alaska Native total - derived","S2009_f_RV.American Indian or Alaska Native men - derived","S2009_f_RV.American Indian or Alaska Native women - derived","S2009_f_RV.Asian/Native Hawaiian/Other Pacific Islander total - derived","S2009_f_RV.Asian/Native Hawaiian/Other Pacific Islander men - derived","S2009_f_RV.Asian/Native Hawaiian/Other Pacific Islander women - derived","S2009_f_RV.Black or African American/Black non-Hispanic total - derived","S2009_f_RV.Black or African American/Black non-Hispanic men - derived","S2009_f_RV.Black or African American/Black non-Hispanic women - derived","S2009_f_RV.Hispanic or Latino/Hispanic total - derived","S2009_f_RV.Hispanic or Latino/Hispanic men - derived","S2009_f_RV.Hispanic or Latino/Hispanic women - derived","S2009_f_RV.White/White non-Hispanic total - derived","S2009_f_RV.White/White non-Hispanic men - derived","S2009_f_RV.White/White non-Hispanic women - derived","S2009_f_RV.American Indian or Alaska Native total - new","S2009_f_RV.American Indian or Alaska Native men - new","S2009_f_RV.American Indian or Alaska Native women - new","S2009_f_RV.Asian total - new","S2009_f_RV.Asian men - new","S2009_f_RV.Asian women - new","S2009_f_RV.Black or African American total - new","S2009_f_RV.Black or African American men - new","S2009_f_RV.Black or African American women - new","S2009_f_RV.Hispanic or Latino total - new","S2009_f_RV.Hispanic or Latino men - new","S2009_f_RV.Hispanic or Latino women - new","S2009_f_RV.Native Hawaiian or Other Pacific Islander total - new","S2009_f_RV.Native Hawaiian or Other Pacific Islander men - new","S2009_f_RV.Native Hawaiian or Other Pacific Islander women - new","S2009_f_RV.White total - new","S2009_f_RV.White men - new","S2009_f_RV.White women - new","S2009_f_RV.Two or more races total - new","S2009_f_RV.Two or more races men - new","S2009_f_RV.Two or more races women - new","S2009_f_RV.American Indian or Alaska Native total - old","S2009_f_RV.American Indian or Alaska Native men - old","S2009_f_RV.American Indian or Alaska Native women - old","S2009_f_RV.Asian or Pacific Islander total - old","S2009_f_RV.Asian or Pacific Islander men - old","S2009_f_RV.Asian or Pacific Islander women - old","S2009_f_RV.White non-Hispanic women - old","S2009_f_RV.Black non-Hispanic  total  - old","S2009_f_RV.Black non-Hispanic men - old","S2009_f_RV.Black non-Hispanic women - old","S2009_f_RV.Hispanic total - old","S2009_f_RV.Hispanic men - old","S2009_f_RV.Hispanic women - old","S2009_f_RV.White non-Hispanic total  - old","S2009_f_RV.White non-Hispanic men  - old","S2009_f_RV.Race/ethnicity unknown total","S2009_f_RV.Race/ethnicity unknown men","S2009_f_RV.Race/ethnicity unknown women","S2009_f_RV.Nonresident alien total","S2009_f_RV.Nonresident alien men","S2009_f_RV.Nonresident alien women","IDX_HR"
"130943","University of Delaware","2009","Total full-time Instruction/research/public service, Non-tenured not on tenure track, Associate professors","32","20","12","0","0","0","1","1","0","1","0","1","0","0","0","30","19","11",,,,,,,,,,,,,,,,,,,,,,"0","0","0","1","1","0","11","1","0","1","0","0","0","30","19","0","0","0","0","0","0","-2"
"130943","University of Delaware","2009","Total full-time Instruction/research/public service, Non-tenured not on tenure track, Assistant professors","125","59","66","1","0","1","4","2","2","5","3","2","4","1","3","107","50","57",,,,,,,,,,,,,,,,,,,,,,"1","0","1","4","2","2","57","5","3","2","4","1","3","107","50","0","0","0","4","3","1","-2"
"130943","University of Delaware","2009","Total full-time Instruction/research/public service, Non-tenured not on tenure track, Instructors","104","28","76","2","1","1","3","0","3","2","0","2","2","0","2","94","27","67",,,,,,,,,,,,,,,,,,,,,,"2","1","1","3","0","3","67","2","0","2","2","0","2","94","27","0","0","0","1","0","1","-2"
"130943","University of Delaware","2009","Total full-time Instruction/research/public service, Non-tenured not on tenure track total","272","115","157","3","1","2","9","4","5","9","4","5","6","1","5","240","102","138",,,,,,,,,,,,,,,,,,,,,,"3","1","2","9","4","5","138","9","4","5","6","1","5","240","102","0","0","0","5","3","2","-2"
"131520","Howard University","2009","Total full-time Instruction/research/public service, Tenured, Professors","236","178","58","0","0","0","0","0","0","134","101","33","1","0","1","54","40","14",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","14","134","101","33","1","0","1","54","40","47","37","10","0","0","0","-2"
"131520","Howard University","2009","Total full-time Instruction/research/public service, Tenured, Associate professors","204","128","76","0","0","0","0","0","0","137","85","52","4","1","3","33","21","12",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","12","137","85","52","4","1","3","33","21","30","21","9","0","0","0","-2"
"131520","Howard University","2009","Total full-time Instruction/research/public service, Tenured, Assistant professors","24","16","8","0","0","0","0","0","0","16","11","5","1","0","1","2","1","1",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","1","16","11","5","1","0","1","2","1","5","4","1","0","0","0","-2"
"131520","Howard University","2009","Total full-time Instruction/research/public service, Tenured, No academic rank","12","9","3","0","0","0","0","0","0","8","5","3","0","0","0","3","3","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","8","5","3","0","0","0","3","3","1","1","0","0","0","0","-2"
"131520","Howard University","2009","Total full-time Instruction/research/public service, Tenured total","476","331","145","0","0","0","0","0","0","295","202","93","6","1","5","92","65","27",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","27","295","202","93","6","1","5","92","65","83","63","20","0","0","0","-2"
"131520","Howard University","2009","Total full-time Instruction/research/public service, Non-tenured on tenure track, Professors","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"131520","Howard University","2009","Total full-time Instruction/research/public service, Non-tenured on tenure track, Associate professors","9","5","4","0","0","0","0","0","0","6","2","4","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","6","2","4","1","1","0","0","0","2","2","0","0","0","0","-2"
"131520","Howard University","2009","Total full-time Instruction/research/public service, Non-tenured on tenure track, Assistant professors","80","39","41","0","0","0","1","0","1","46","21","25","5","0","5","11","8","3",,,,,,,,,,,,,,,,,,,,,,"0","0","0","1","0","1","3","46","21","25","5","0","5","11","8","17","10","7","0","0","0","-2"
"131520","Howard University","2009","Total full-time Instruction/research/public service, Non-tenured on tenure track, Lecturers","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","-2"
"131520","Howard University","2009","Total full-time Instruction/research/public service, Non-tenured on tenure track total","91","46","45","0","0","0","1","0","1","53","24","29","6","1","5","11","8","3",,,,,,,,,,,,,,,,,,,,,,"0","0","0","1","0","1","3","53","24","29","6","1","5","11","8","20","13","7","0","0","0","-2"
"131520","Howard University","2009","Total full-time Instruction/research/public service, Non-tenured not on tenure track, Professors","35","22","13","0","0","0","1","1","0","18","12","6","0","0","0","7","4","3",,,,,,,,,,,,,,,,,,,,,,"0","0","0","1","1","0","3","18","12","6","0","0","0","7","4","9","5","4","0","0","0","-2"
"131520","Howard University","2009","Total full-time Instruction/research/public service, Non-tenured not on tenure track, Associate professors","68","32","36","0","0","0","1","0","1","42","15","27","1","1","0","13","9","4",,,,,,,,,,,,,,,,,,,,,,"0","0","0","1","0","1","4","42","15","27","1","1","0","13","9","11","7","4","0","0","0","-2"
"131520","Howard University","2009","Total full-time Instruction/research/public service, Non-tenured not on tenure track, Assistant professors","169","83","86","0","0","0","6","4","2","107","45","62","2","2","0","20","12","8",,,,,,,,,,,,,,,,,,,,,,"0","0","0","6","4","2","8","107","45","62","2","2","0","20","12","34","20","14","0","0","0","-2"
"131520","Howard University","2009","Total full-time Instruction/research/public service, Non-tenured not on tenure track, Instructors","67","23","44","0","0","0","1","0","1","46","14","32","1","0","1","7","2","5",,,,,,,,,,,,,,,,,,,,,,"0","0","0","1","0","1","5","46","14","32","1","0","1","7","2","12","7","5","0","0","0","-2"
