"unitid","institution name","year","S2009_f.Tenure status and academic rank of full-time instruction/research/public service staff","S2009_f_RV.Grand total","S2009_f_RV.Grand total men","S2009_f_RV.Grand total women","S2009_f_RV.American Indian or Alaska Native total - derived","S2009_f_RV.American Indian or Alaska Native men - derived","S2009_f_RV.American Indian or Alaska Native women - derived","S2009_f_RV.Asian/Native Hawaiian/Other Pacific Islander total - derived","S2009_f_RV.Asian/Native Hawaiian/Other Pacific Islander men - derived","S2009_f_RV.Asian/Native Hawaiian/Other Pacific Islander women - derived","S2009_f_RV.Black or African American/Black non-Hispanic total - derived","S2009_f_RV.Black or African American/Black non-Hispanic men - derived","S2009_f_RV.Black or African American/Black non-Hispanic women - derived","S2009_f_RV.Hispanic or Latino/Hispanic total - derived","S2009_f_RV.Hispanic or Latino/Hispanic men - derived","S2009_f_RV.Hispanic or Latino/Hispanic women - derived","S2009_f_RV.White/White non-Hispanic total - derived","S2009_f_RV.White/White non-Hispanic men - derived","S2009_f_RV.White/White non-Hispanic women - derived","S2009_f_RV.American Indian or Alaska Native total - new","S2009_f_RV.American Indian or Alaska Native men - new","S2009_f_RV.American Indian or Alaska Native women - new","S2009_f_RV.Asian total - new","S2009_f_RV.Asian men - new","S2009_f_RV.Asian women - new","S2009_f_RV.Black or African American total - new","S2009_f_RV.Black or African American men - new","S2009_f_RV.Black or African American women - new","S2009_f_RV.Hispanic or Latino total - new","S2009_f_RV.Hispanic or Latino men - new","S2009_f_RV.Hispanic or Latino women - new","S2009_f_RV.Native Hawaiian or Other Pacific Islander total - new","S2009_f_RV.Native Hawaiian or Other Pacific Islander men - new","S2009_f_RV.Native Hawaiian or Other Pacific Islander women - new","S2009_f_RV.White total - new","S2009_f_RV.White men - new","S2009_f_RV.White women - new","S2009_f_RV.Two or more races total - new","S2009_f_RV.Two or more races men - new","S2009_f_RV.Two or more races women - new","S2009_f_RV.American Indian or Alaska Native total - old","S2009_f_RV.American Indian or Alaska Native men - old","S2009_f_RV.American Indian or Alaska Native women - old","S2009_f_RV.Asian or Pacific Islander total - old","S2009_f_RV.Asian or Pacific Islander men - old","S2009_f_RV.Asian or Pacific Islander women - old","S2009_f_RV.White non-Hispanic women - old","S2009_f_RV.Black non-Hispanic  total  - old","S2009_f_RV.Black non-Hispanic men - old","S2009_f_RV.Black non-Hispanic women - old","S2009_f_RV.Hispanic total - old","S2009_f_RV.Hispanic men - old","S2009_f_RV.Hispanic women - old","S2009_f_RV.White non-Hispanic total  - old","S2009_f_RV.White non-Hispanic men  - old","S2009_f_RV.Race/ethnicity unknown total","S2009_f_RV.Race/ethnicity unknown men","S2009_f_RV.Race/ethnicity unknown women","S2009_f_RV.Nonresident alien total","S2009_f_RV.Nonresident alien men","S2009_f_RV.Nonresident alien women","IDX_HR"
"109785","Azusa Pacific University","2009","Total full-time Instruction/research/public service, Non-tenured not on tenure track, Professors","132","82","50","0","0","0","11","5","6","6","5","1","4","2","2","110","70","40","0","0","0","11","5","6","6","5","1","4","2","2","0","0","0","110","70","40","0","0","0",,,,,,,,,,,,,,,,"1","0","1","0","0","0","-2"
"109785","Azusa Pacific University","2009","Total full-time Instruction/research/public service, Non-tenured not on tenure track, Associate professors","120","76","44","1","0","1","12","9","3","9","6","3","7","5","2","91","56","35","1","0","1","12","9","3","9","6","3","7","5","2","0","0","0","91","56","35","0","0","0",,,,,,,,,,,,,,,,"0","0","0","0","0","0","-2"
"109785","Azusa Pacific University","2009","Total full-time Instruction/research/public service, Non-tenured not on tenure track, Assistant professors","127","46","81","0","0","0","17","7","10","11","2","9","12","4","8","85","33","52","0","0","0","17","7","10","11","2","9","12","4","8","0","0","0","85","33","52","0","0","0",,,,,,,,,,,,,,,,"2","0","2","0","0","0","-2"
"109785","Azusa Pacific University","2009","Total full-time Instruction/research/public service, Non-tenured not on tenure track, Instructors","23","6","17","0","0","0","2","0","2","1","0","1","2","1","1","18","5","13","0","0","0","2","0","2","1","0","1","2","1","1","0","0","0","18","5","13","0","0","0",,,,,,,,,,,,,,,,"0","0","0","0","0","0","-2"
"109785","Azusa Pacific University","2009","Total full-time Instruction/research/public service, Non-tenured not on tenure track, No academic rank","14","10","4","0","0","0","1","0","1","2","2","0","0","0","0","11","8","3","0","0","0","1","0","1","2","2","0","0","0","0","0","0","0","11","8","3","0","0","0",,,,,,,,,,,,,,,,"0","0","0","0","0","0","-2"
"109785","Azusa Pacific University","2009","Total full-time Instruction/research/public service, Non-tenured not on tenure track total","416","220","196","1","0","1","43","21","22","29","15","14","25","12","13","315","172","143","1","0","1","43","21","22","29","15","14","25","12","13","0","0","0","315","172","143","0","0","0",,,,,,,,,,,,,,,,"3","0","3","0","0","0","-2"
"109819","Bakersfield College","2009","Total full-time Instruction/research/public service, Tenured, Instructors","207","108","99","1","0","1","7","3","4","12","6","6","23","10","13","153","85","68","1","0","1","6","2","4","12","6","6","23","10","13","1","1","0","153","85","68","0","0","0",,,,,,,,,,,,,,,,"11","4","7","0","0","0","-2"
"109819","Bakersfield College","2009","Total full-time Instruction/research/public service, Tenured total","207","108","99","1","0","1","7","3","4","12","6","6","23","10","13","153","85","68","1","0","1","6","2","4","12","6","6","23","10","13","1","1","0","153","85","68","0","0","0",,,,,,,,,,,,,,,,"11","4","7","0","0","0","-2"
"109819","Bakersfield College","2009","Total full-time Instruction/research/public service, Non-tenured on tenure track, Instructors","38","15","23","1","1","0","0","0","0","0","0","0","3","2","1","31","12","19","1","1","0","0","0","0","0","0","0","3","2","1","0","0","0","31","12","19","0","0","0",,,,,,,,,,,,,,,,"3","0","3","0","0","0","-2"
"109819","Bakersfield College","2009","Total full-time Instruction/research/public service, Non-tenured on tenure track total","38","15","23","1","1","0","0","0","0","0","0","0","3","2","1","31","12","19","1","1","0","0","0","0","0","0","0","3","2","1","0","0","0","31","12","19","0","0","0",,,,,,,,,,,,,,,,"3","0","3","0","0","0","-2"
