"unitid","institution name","year","S2014_IS.Instructional staff category","S2014_IS_RV.Grand total","S2014_IS_RV.Grand total men","S2014_IS_RV.Grand total women","S2014_IS_RV.American Indian or Alaska Native total","S2014_IS_RV.American Indian or Alaska Native men","S2014_IS_RV.American Indian or Alaska Native women","S2014_IS_RV.Asian total","S2014_IS_RV.Asian men","S2014_IS_RV.Asian women","S2014_IS_RV.Black or African American total","S2014_IS_RV.Black or African American men","S2014_IS_RV.Black or African American women","S2014_IS_RV.Hispanic or Latino total","S2014_IS_RV.Hispanic or Latino men","S2014_IS_RV.Hispanic or Latino women","S2014_IS_RV.Native Hawaiian or Other Pacific Islander total","S2014_IS_RV.Native Hawaiian or Other Pacific Islander men","S2014_IS_RV.Native Hawaiian or Other Pacific Islander women","S2014_IS_RV.White total","S2014_IS_RV.White men","S2014_IS_RV.White women","S2014_IS_RV.Two or more races total","S2014_IS_RV.Two or more races men","S2014_IS_RV.Two or more races women","S2014_IS_RV.Race/ethnicity unknown total","S2014_IS_RV.Race/ethnicity unknown men","S2014_IS_RV.Race/ethnicity unknown women","S2014_IS_RV.Nonresident alien total","S2014_IS_RV.Nonresident alien men","S2014_IS_RV.Nonresident alien women","IDX_HR"
"100706","University of Alabama in Huntsville","2014","Tenured total","135","103","32","0","0","0","28","27","1","7","4","3","4","3","1","0","0","0","96","69","27","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2014","Tenured, professors","61","50","11","0","0","0","10","10","0","1","1","0","2","2","0","0","0","0","48","37","11","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2014","Tenured, associate professors","73","53","20","0","0","0","18","17","1","6","3","3","1","1","0","0","0","0","48","32","16","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2014","Tenured, assistant professors","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2014","On-Tenure track total","82","60","22","0","0","0","15","12","3","1","0","1","1","1","0","0","0","0","54","39","15","0","0","0","0","0","0","11","8","3","-2"
"100706","University of Alabama in Huntsville","2014","On-tenure track, associate professors","9","4","5","0","0","0","1","1","0","1","0","1","0","0","0","0","0","0","7","3","4","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2014","On-tenure track, assistant professors","73","56","17","0","0","0","14","11","3","0","0","0","1","1","0","0","0","0","47","36","11","0","0","0","0","0","0","11","8","3","-2"
"100706","University of Alabama in Huntsville","2014","Not on tenure track/No tenure system system total","81","17","64","0","0","0","3","1","2","5","1","4","1","0","1","1","0","1","70","14","56","0","0","0","0","0","0","1","1","0","-2"
"100706","University of Alabama in Huntsville","2014","Not on tenure/no tenure system, associate professors","4","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","3","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2014","Not on tenure/no tenure system, assistant professors","26","3","23","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","25","3","22","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2014","Not on tenure/no tenure system, instructors","13","1","12","0","0","0","0","0","0","2","0","2","0","0","0","1","0","1","10","1","9","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2014","Not on tenure/no tenure system, lecturers","38","12","26","0","0","0","3","1","2","2","1","1","1","0","1","0","0","0","31","9","22","0","0","0","0","0","0","1","1","0","-2"
"100751","The University of Alabama","2014","Tenured total","589","398","191","0","0","0","52","44","8","37","14","23","15","10","5","0","0","0","480","329","151","1","0","1","0","0","0","4","1","3","-2"
"100751","The University of Alabama","2014","Tenured, professors","295","225","70","0","0","0","27","24","3","12","7","5","6","5","1","0","0","0","248","188","60","1","0","1","0","0","0","1","1","0","-2"
"100751","The University of Alabama","2014","Tenured, associate professors","287","171","116","0","0","0","25","20","5","24","7","17","8","4","4","0","0","0","227","140","87","0","0","0","0","0","0","3","0","3","-2"
"100751","The University of Alabama","2014","Tenured, assistant professors","7","2","5","0","0","0","0","0","0","1","0","1","1","1","0","0","0","0","5","1","4","0","0","0","0","0","0","0","0","0","-2"
"100751","The University of Alabama","2014","On-Tenure track total","238","129","109","0","0","0","24","9","15","16","6","10","4","0","4","0","0","0","178","102","76","1","0","1","0","0","0","15","12","3","-2"
"100751","The University of Alabama","2014","On-tenure track, professors","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","1","0","0","0","0","0","0","0","0","0","-2"
"100751","The University of Alabama","2014","On-tenure track, associate professors","11","6","5","0","0","0","2","1","1","1","0","1","0","0","0","0","0","0","8","5","3","0","0","0","0","0","0","0","0","0","-2"
"100751","The University of Alabama","2014","On-tenure track, assistant professors","223","120","103","0","0","0","22","8","14","15","6","9","4","0","4","0","0","0","166","94","72","1","0","1","0","0","0","15","12","3","-2"
"100751","The University of Alabama","2014","On-tenure track, instructors","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","-2"
"100751","The University of Alabama","2014","Not on tenure track/No tenure system system total","460","196","264","0","0","0","12","4","8","26","11","15","10","7","3","0","0","0","387","160","227","1","0","1","2","2","0","22","12","10","-2"
"100751","The University of Alabama","2014","Not on tenure/no tenure system, professors","15","10","5","0","0","0","0","0","0","1","1","0","1","1","0","0","0","0","12","7","5","0","0","0","0","0","0","1","1","0","-2"
"100751","The University of Alabama","2014","Not on tenure/no tenure system, associate professors","31","14","17","0","0","0","3","2","1","2","0","2","0","0","0","0","0","0","26","12","14","0","0","0","0","0","0","0","0","0","-2"
"100751","The University of Alabama","2014","Not on tenure/no tenure system, assistant professors","130","47","83","0","0","0","6","1","5","10","2","8","1","0","1","0","0","0","101","36","65","0","0","0","0","0","0","12","8","4","-2"
"100751","The University of Alabama","2014","Not on tenure/no tenure system, instructors","271","114","157","0","0","0","3","1","2","12","7","5","8","6","2","0","0","0","236","95","141","1","0","1","2","2","0","9","3","6","-2"
"100751","The University of Alabama","2014","Not on tenure/no tenure system, lecturers","13","11","2","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","12","10","2","0","0","0","0","0","0","0","0","0","-2"
"102094","University of South Alabama","2014","Tenured total","271","188","83","0","0","0","18","13","5","7","5","2","2","2","0","0","0","0","243","168","75","1","0","1","0","0","0","0","0","0","-2"
"102094","University of South Alabama","2014","Tenured, professors","150","112","38","0","0","0","8","7","1","2","2","0","0","0","0","0","0","0","140","103","37","0","0","0","0","0","0","0","0","0","-2"
"102094","University of South Alabama","2014","Tenured, associate professors","115","74","41","0","0","0","10","6","4","4","2","2","2","2","0","0","0","0","98","64","34","1","0","1","0","0","0","0","0","0","-2"
"102094","University of South Alabama","2014","Tenured, assistant professors","6","2","4","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","5","1","4","0","0","0","0","0","0","0","0","0","-2"
"102094","University of South Alabama","2014","On-Tenure track total","119","76","43","2","0","2","22","17","5","6","2","4","3","3","0","0","0","0","85","53","32","1","1","0","0","0","0","0","0","0","-2"
"102094","University of South Alabama","2014","On-tenure track, professors","7","7","0","0","0","0","1","1","0","1","1","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","-2"
"102094","University of South Alabama","2014","On-tenure track, associate professors","16","11","5","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","12","7","5","1","1","0","0","0","0","0","0","0","-2"
"102094","University of South Alabama","2014","On-tenure track, assistant professors","96","58","38","2","0","2","18","13","5","5","1","4","3","3","0","0","0","0","68","41","27","0","0","0","0","0","0","0","0","0","-2"
"102094","University of South Alabama","2014","Not on tenure track/No tenure system system total","368","170","198","1","1","0","30","24","6","21","1","20","7","4","3","0","0","0","305","138","167","0","0","0","4","2","2","0","0","0","-2"
"102094","University of South Alabama","2014","Not on tenure/no tenure system, professors","36","26","10","0","0","0","2","2","0","2","0","2","3","2","1","0","0","0","29","22","7","0","0","0","0","0","0","0","0","0","-2"
"102094","University of South Alabama","2014","Not on tenure/no tenure system, associate professors","52","35","17","1","1","0","7","7","0","1","0","1","2","1","1","0","0","0","40","26","14","0","0","0","1","0","1","0","0","0","-2"
"102094","University of South Alabama","2014","Not on tenure/no tenure system, assistant professors","157","67","90","0","0","0","18","15","3","8","1","7","2","1","1","0","0","0","128","49","79","0","0","0","1","1","0","0","0","0","-2"
"102094","University of South Alabama","2014","Not on tenure/no tenure system, instructors","121","40","81","0","0","0","3","0","3","10","0","10","0","0","0","0","0","0","106","39","67","0","0","0","2","1","1","0","0","0","-2"
"102094","University of South Alabama","2014","Not on tenure/no tenure system, lecturers","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","-2"
"102614","University of Alaska Fairbanks","2014","Tenured total","205","137","68","2","0","2","23","19","4","1","0","1","3","3","0","0","0","0","170","111","59","3","2","1","3","2","1","0","0","0","-2"
"102614","University of Alaska Fairbanks","2014","Tenured, professors","94","75","19","0","0","0","16","15","1","0","0","0","2","2","0","0","0","0","71","55","16","2","1","1","3","2","1","0","0","0","-2"
"102614","University of Alaska Fairbanks","2014","Tenured, associate professors","111","62","49","2","0","2","7","4","3","1","0","1","1","1","0","0","0","0","99","56","43","1","1","0","0","0","0","0","0","0","-2"
"102614","University of Alaska Fairbanks","2014","On-Tenure track total","96","54","42","8","4","4","6","4","2","0","0","0","1","0","1","0","0","0","69","37","32","1","1","0","7","4","3","4","4","0","-2"
"102614","University of Alaska Fairbanks","2014","On-tenure track, professors","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","-2"
"102614","University of Alaska Fairbanks","2014","On-tenure track, associate professors","7","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","6","1","0","0","0","0","0","0","0","0","0","-2"
"102614","University of Alaska Fairbanks","2014","On-tenure track, assistant professors","87","46","41","8","4","4","6","4","2","0","0","0","1","0","1","0","0","0","60","29","31","1","1","0","7","4","3","4","4","0","-2"
"102614","University of Alaska Fairbanks","2014","Not on tenure track/No tenure system system total","107","45","62","11","5","6","2","1","1","3","1","2","4","1","3","1","0","1","75","30","45","2","0","2","8","6","2","1","1","0","-2"
"102614","University of Alaska Fairbanks","2014","Not on tenure/no tenure system, professors","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","-2"
"102614","University of Alaska Fairbanks","2014","Not on tenure/no tenure system, associate professors","5","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","2","3","0","0","0","0","0","0","0","0","0","-2"
"102614","University of Alaska Fairbanks","2014","Not on tenure/no tenure system, assistant professors","65","28","37","7","4","3","1","1","0","1","1","0","2","1","1","1","0","1","45","16","29","1","0","1","7","5","2","0","0","0","-2"
"102614","University of Alaska Fairbanks","2014","Not on tenure/no tenure system, instructors","33","13","20","4","1","3","1","0","1","2","0","2","2","0","2","0","0","0","21","10","11","1","0","1","1","1","0","1","1","0","-2"
"102614","University of Alaska Fairbanks","2014","Not on tenure/no tenure system, no academic rank","3","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","2","0","0","0","0","0","0","0","0","0","-2"
"104151","Arizona State University-Tempe","2014","Tenured total","994","678","316","12","7","5","118","84","34","23","14","9","78","49","29","0","0","0","728","500","228","10","5","5","3","2","1","22","17","5","-2"
"104151","Arizona State University-Tempe","2014","Tenured, professors","576","429","147","8","6","2","56","44","12","10","7","3","40","29","11","0","0","0","445","331","114","6","3","3","3","2","1","8","7","1","-2"
"104151","Arizona State University-Tempe","2014","Tenured, associate professors","416","249","167","4","1","3","62","40","22","13","7","6","38","20","18","0","0","0","281","169","112","4","2","2","0","0","0","14","10","4","-2"
"104151","Arizona State University-Tempe","2014","Tenured, assistant professors","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","-2"
"104151","Arizona State University-Tempe","2014","On-Tenure track total","303","178","125","8","2","6","40","25","15","7","1","6","24","12","12","0","0","0","180","109","71","2","0","2","11","7","4","31","22","9","-2"
"104151","Arizona State University-Tempe","2014","On-tenure track, associate professors","17","11","6","0","0","0","2","2","0","1","0","1","0","0","0","0","0","0","10","5","5","0","0","0","1","1","0","3","3","0","-2"
"104151","Arizona State University-Tempe","2014","On-tenure track, assistant professors","286","167","119","8","2","6","38","23","15","6","1","5","24","12","12","0","0","0","170","104","66","2","0","2","10","6","4","28","19","9","-2"
"104151","Arizona State University-Tempe","2014","Not on tenure track/No tenure system system total","615","257","358","3","2","1","41","11","30","11","2","9","33","13","20","2","0","2","485","205","280","6","3","3","8","6","2","26","15","11","-2"
"104151","Arizona State University-Tempe","2014","Not on tenure/no tenure system, professors","38","27","11","1","1","0","0","0","0","1","0","1","1","1","0","0","0","0","32","22","10","2","2","0","0","0","0","1","1","0","-2"
"104151","Arizona State University-Tempe","2014","Not on tenure/no tenure system, associate professors","41","20","21","0","0","0","2","1","1","2","1","1","5","2","3","0","0","0","32","16","16","0","0","0","0","0","0","0","0","0","-2"
"104151","Arizona State University-Tempe","2014","Not on tenure/no tenure system, assistant professors","66","34","32","1","1","0","3","1","2","1","0","1","1","1","0","0","0","0","50","24","26","1","0","1","2","2","0","7","5","2","-2"
"104151","Arizona State University-Tempe","2014","Not on tenure/no tenure system, instructors","212","71","141","1","0","1","10","0","10","4","1","3","17","5","12","0","0","0","169","60","109","1","1","0","4","2","2","6","2","4","-2"
"104151","Arizona State University-Tempe","2014","Not on tenure/no tenure system, lecturers","253","101","152","0","0","0","26","9","17","3","0","3","9","4","5","2","0","2","199","81","118","2","0","2","2","2","0","10","5","5","-2"
"104151","Arizona State University-Tempe","2014","Not on tenure/no tenure system, no academic rank","5","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","1","0","0","0","0","0","0","2","2","0","-2"
"104179","University of Arizona","2014","Tenured total","1114","762","352","7","2","5","102","71","31","13","9","4","72","41","31","0","0","0","854","592","262","1","1","0","59","41","18","6","5","1","-2"
"104179","University of Arizona","2014","Tenured, professors","695","511","184","3","2","1","52","37","15","9","6","3","38","29","9","0","0","0","574","419","155","0","0","0","19","18","1","0","0","0","-2"
"104179","University of Arizona","2014","Tenured, associate professors","419","251","168","4","0","4","50","34","16","4","3","1","34","12","22","0","0","0","280","173","107","1","1","0","40","23","17","6","5","1","-2"
"104179","University of Arizona","2014","On-Tenure track total","330","191","139","5","2","3","41","30","11","7","4","3","26","11","15","0","0","0","168","91","77","3","1","2","40","22","18","40","30","10","-2"
